customer_id,name,age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,credit_card_default
CST_115179,ita Bose,46,F,N,Y,0.0,107934.04,612.0,Unknown,1.0,1.0,33070.28,18690.93,73,544.0,2,1,1
CST_121920,Alper Jonathan,29,M,N,Y,0.0,109862.62,2771.0,Laborers,2.0,0.0,15329.53,37745.19,52,857.0,0,0,0
CST_109330,Umesh Desai,37,M,N,Y,0.0,230153.17,204.0,Laborers,2.0,0.0,48416.6,41598.36,43,650.0,0,0,0
CST_128288,Rie,39,F,N,Y,0.0,122325.82,11941.0,Core staff,2.0,0.0,22574.36,32627.76,20,754.0,0,0,0
CST_151355,McCool,46,M,Y,Y,0.0,387286.0,1459.0,Core staff,1.0,0.0,38282.95,52950.64,75,927.0,0,0,0
CST_123268,Sarah Marsh,46,F,Y,N,0.0,252765.91,2898.0,Accountants,2.0,1.0,37046.86,40245.64,19,937.0,0,0,0
CST_127502,Mason,38,M,N,Y,1.0,262389.2,5541.0,High skill tech staff,3.0,0.0,50839.39,41311.08,42,733.0,0,0,0
CST_151722,Saba,46,F,Y,Y,1.0,241211.39,1448.0,Core staff,3.0,0.0,30008.46,32209.22,91,906.0,0,0,0
CST_133768,Ashutosh,40,F,,Y,0.0,210091.43,11551.0,Laborers,2.0,0.0,21521.89,65037.74,14,783.0,0,0,0
CST_111670,David Milliken,39,F,Y,Y,2.0,207109.13,2791.0,High skill tech staff,4.0,0.0,9509.1,28425.52,14,666.0,0,0,0
CST_153773,Zaharia,32,F,N,Y,0.0,79102.33,2252.0,Unknown,2.0,1.0,8074.63,13615.21,58,781.0,0,0,0
CST_142986,Sam,52,M,Y,N,1.0,158933.98,817.0,Sales staff,3.0,0.0,19942.29,39126.06,41,889.0,0,0,0
CST_147654,Baker,39,F,N,Y,0.0,68421.1,365247.0,Unknown,2.0,0.0,13781.53,17110.01,72,643.0,1,1,1
CST_165186,Vaughan,52,F,Y,N,0.0,125141.5,2215.0,Sales staff,2.0,0.0,65673.47,38854.6,40,909.0,0,0,0
CST_114892,Katharina Bart,43,M,Y,Y,0.0,368556.71,5522.0,Managers,2.0,0.0,74286.97,122481.96,41,874.0,0,0,0
CST_106781,Lesley Wroughton,37,F,N,N,0.0,746959.12,2229.0,Unknown,2.0,0.0,16834.71,188438.82,63,666.0,0,0,0
CST_119686,Alister Bull,24,F,N,Y,0.0,145522.37,8058.0,High skill tech staff,1.0,0.0,26365.91,29476.68,77,763.0,0,0,0
CST_107195,Joan Biskupic,41,M,N,N,2.0,110975.59,2384.0,Laborers,4.0,1.0,16634.19,24027.62,87,582.0,1,1,1
CST_162929,Smith,34,F,N,Y,0.0,198608.52,4627.0,Core staff,2.0,0.0,61155.24,31554.66,84,699.0,0,0,1
CST_119824,Natalie Thomas,50,F,N,N,1.0,86956.02,192.0,Core staff,3.0,0.0,34644.51,14726.33,97,753.0,0,0,0
CST_144202,Huw,24,F,N,Y,0.0,123082.75,729.0,Sales staff,2.0,0.0,19625.83,42005.38,74,710.0,0,0,0
CST_151332,James,36,F,N,Y,,253922.42,433.0,Unknown,2.0,0.0,51044.13,60924.47,19,651.0,0,0,0
CST_105226,Tim Reid,42,M,Y,N,2.0,136743.6,3342.0,Managers,4.0,1.0,15990.33,47053.67,69,893.0,0,0,0
CST_109578,Poornima Gupta,23,F,N,Y,2.0,217697.92,4057.0,Drivers,4.0,0.0,27509.83,48384.25,84,519.0,2,0,1
CST_119972,Jonathan Kaminsky,37,F,N,Y,0.0,95256.28,7768.0,Laborers,2.0,0.0,11543.09,34545.88,19,895.0,0,0,0
CST_138824,Jessica,50,F,N,Y,2.0,170618.43,2996.0,Medicine staff,3.0,0.0,21476.67,26919.68,83,801.0,0,0,0
CST_144927,Michelle,27,M,Y,Y,1.0,118499.04,733.0,Laborers,3.0,0.0,9830.79,27462.45,83,880.0,0,0,0
